Source,Target
1,10616
1,11919
1,15225
1,15225
1,15225
3,13665
3,9877
3,9877
3,9877
6,13633
6,7249
6,7951
6,6517
6,6517
6,6517
6,9091
6,13169
6,13169
6,13169
6,13169
6,9283
6,9283
6,4787
7,5173
10,8269
10,5546
11,5933
11,6114
14,2264
14,7295
15,12544
26,6504
26,13057
26,13057
37,10641
37,10641
37,3227
37,3227
37,18165
37,6563
37,6563
37,7701
39,5246
39,19663
41,5460
41,5460
41,5460
41,5460
41,5460
47,5060
47,5060
47,5060
47,5060
47,5060
47,4930
47,4930
49,18877
49,14269
49,14269
49,14269
49,14269
49,14269
49,14269
49,14269
49,14269
49,14269
49,7501
49,7501
49,15613
49,15736
50,2368
51,14726
51,14726
52,13858
52,4837
58,18713
60,18052
64,465
64,7152
64,585
64,585
64,16697
64,16697
64,16697
64,16697
64,3323
64,6510
64,15274
64,15274
64,817
64,817
65,18445
65,6156
65,11517
65,10354
65,15736
67,18859
67,2077
67,5846
67,767
67,767
67,1320
67,1320
67,1320
67,5932
67,15431
67,15431
67,15431
67,4189
67,6336
67,6336
67,12266
67,18509
67,2435
67,17404
67,14999
67,19080
67,1193
67,12127
67,6323
67,6435
67,3582
67,3582
67,3582
67,12645
67,16303
67,580
67,580
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,16380
67,6832
67,6832
67,6832
67,6832
67,16634
67,16634
67,16634
67,16634
67,16634
67,16634
67,17348
67,8722
67,19478
67,19478
67,13926
67,13926
67,18461
67,1371
67,743
67,743
67,17688
67,17688
67,17688
67,17688
67,14235
67,12623
67,10031
67,210
67,210
67,2288
67,7584
67,7584
67,426
67,19568
67,19568
67,19568
67,16582
67,16582
67,8327
72,2403
72,2403
72,4837
72,13396
72,12082
72,12082
72,12082
72,5650
72,10354
72,15364
73,1828
73,4936
73,14942
73,12499
73,12499
73,12499
73,12499
73,12499
73,12499
74,10122
74,3634
74,15770
74,15770
74,14725
75,17471
90,6824
91,8481
91,8481
91,8481
91,8481
91,8481
93,19343
93,19343
93,13493
93,13493
93,13493
93,10420
93,4381
93,14585
95,7537
95,7188
95,7188
97,1230
97,319
97,17767
97,17767
97,14794
109,4914
109,7645
109,8481
109,8481
109,3529
109,11918
109,8778
109,8778
109,15113
109,15113
111,18597
112,5572
112,5572
112,2403
114,18685
120,469
125,14839
127,619
127,14263
127,14263
127,9180
127,12420
134,2968
135,19494
135,13540
135,505
135,5031
135,13000
135,7543
135,7543
135,5522
135,5522
136,3582
136,6668
137,19286
140,18239
140,18239
140,18239
140,6796
140,6796
140,10488
140,10488
140,10488
140,10488
140,5571
147,17471
148,16147
150,8223
150,10087
150,10087
150,10087
150,9421
150,3860
151,14820
154,18190
154,18190
154,18351
154,18351
154,18351
154,18351
154,18351
154,4856
154,18530
154,18530
155,6567
155,12167
155,14830
157,15868
158,4986
159,9310
159,11552
160,12093
161,2368
163,15806
163,15806
163,15806
163,8352
163,14972
163,6012
163,18800
163,17155
163,18918
163,11007
163,4447
163,11494
163,11494
163,11494
163,2403
163,18665
163,18665
163,15686
163,15686
163,10551
163,19609
163,19609
163,19609
163,19609
163,13983
163,13983
163,13983
163,13983
163,13983
163,4867
163,4867
163,13267
163,13267
163,16306
163,6370
163,6370
163,2513
163,2513
163,4071
163,9540
163,9540
163,5276
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,11045
163,7669
163,7669
163,7669
163,7669
163,7669
163,7669
163,7669
163,7669
163,7669
163,7669
163,7669
163,6854
163,754
163,754
163,6858
163,11135
163,5568
163,15610
163,15610
163,15610
163,19017
163,19017
163,19017
163,641
163,641
164,6567
164,6567
164,11633
164,11633
164,11633
164,11633
164,3384
164,10121
169,5491
169,12699
169,12699
171,17380
171,17380
171,17380
171,2361
171,11986
171,895
172,2368
177,17211
177,17211
177,17211
177,17211
177,17211
177,17211
177,6465
177,6465
177,6668
177,12334
183,17612
183,17688
183,11470
183,11470
183,11470
183,11470
183,11470
183,11470
183,11470
183,7113
183,7616
183,3589
183,4756
183,332
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,5466
183,8719
183,17273
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,7378
183,2264
183,1783
188,9054
188,17688
188,5560
188,5560
188,5560
188,5560
188,5560
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,6417
188,2716
188,2716
188,2716
188,987
188,11506
188,18665
188,6792
188,7274
188,7274
188,7274
188,7274
188,8319
188,4844
188,4844
188,4844
188,14940
188,14940
188,14940
188,14940
188,14940
188,10528
188,10721
188,10721
188,10721
188,17046
188,17046
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
188,7295
190,6308
192,15066
192,15066
192,1822
192,1822
192,141
192,5952
192,5982
192,10123
192,9786
194,14235
194,5846
195,7596
195,7596
195,7596
195,15206
195,767
195,10995
195,16291
195,4606
195,11713
195,11713
195,11713
195,11713
195,11713
195,11713
195,11713
195,11642
195,11642
195,11642
195,162
195,785
195,785
195,785
195,785
195,785
195,785
195,14070
195,4837
195,4837
195,15535
195,6111
195,6111
195,6111
195,14366
195,1493
195,5694
195,7720
195,14329
195,14329
195,8214
195,1043
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,12049
195,15736
195,4802
195,12301
195,12301
195,12301
195,2991
195,2991
195,17688
195,14235
195,3767
195,17915
195,17915
195,17915
195,17915
195,17915
195,17915
195,17915
195,17915
195,17915
195,17915
195,17915
195,1340
195,3160
195,14820
195,14820
195,14820
195,14820
197,13396
197,13396
198,18310
200,12417
200,1795
200,1795
200,14530
200,3546
200,3546
204,373
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,11669
205,18224
205,13226
205,13226
205,13226
205,6512
205,3055
205,3055
205,3055
205,3055
205,3055
205,3055
205,3055
205,3055
205,3055
205,3055
205,3055
205,7584
205,7584
205,7584
205,7584
205,7584
205,7584
205,6293
205,6293
205,6293
205,3966
205,3966
205,6609
205,15484
205,16263
205,16263
205,16263
205,16263
205,16263
205,16263
205,16263
205,9921
206,12736
206,8881
206,7632
206,7632
206,7632
206,7632
206,12458
206,12458
210,15080
210,6673
210,6854
210,6854
210,3469
210,3469
210,14724
210,14724
210,14724
210,14724
210,14724
210,18471
210,10528
210,10528
210,13437
210,4173
211,18486
211,14412
211,1316
211,10921
211,10921
211,5306
211,4292
211,17652
211,12125
211,12125
211,12125
211,767
211,767
211,3894
211,119
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,5715
211,12049
211,12049
211,12049
211,12049
211,12049
211,12049
211,12049
211,6693
211,6693
211,4144
211,4144
211,4144
211,4144
211,4144
211,4144
211,4144
211,4144
211,4144
211,20010
211,361
211,361
211,361
211,20026
211,17990
211,17990
211,17990
211,17990
211,18363
211,7509
211,19568
211,12906
211,12906
211,682
211,17923
213,13150
213,4261
213,10302
213,10302
213,10302
213,10302
213,10302
213,5846
213,4575
213,7157
213,18152
213,18190
213,7943
213,7943
213,1257
213,1257
214,12093
214,12093
214,13175
219,17171
219,17171
219,6761
219,6761
219,11252
219,11252
219,11252
220,12220
220,12220
220,12371
220,12371
220,6542
220,6542
220,7221
220,7221
220,7509
220,12741
220,12741
220,17354
220,9318
220,9318
220,9318
220,9318
220,9318
220,9318
220,10301
220,12588
221,17791
221,13396
