Source,Target
1,10285
1,11574
1,14982
1,14982
1,14982
2,9908
2,9908
2,9908
2,9908
2,9908
2,9908
2,9908
2,6075
2,8750
2,17803
2,5359
2,14078
2,11712
2,11712
2,11981
2,8618
2,10948
2,10948
2,6023
2,1319
2,1319
2,1319
2,11586
2,9384
2,12566
2,707
3,13365
3,18244
3,18244
6,13331
6,17779
6,18283
6,12560
6,12850
6,12850
6,8782
6,15312
6,4558
7,13952
10,5281
10,7969
11,5677
11,16615
12,5589
14,2159
14,7026
15,12205
26,10809
26,12732
26,12732
32,10190
32,16081
35,7920
38,3335
38,3335
38,3073
38,3073
38,18057
38,6295
38,6295
38,7408
41,5198
41,5198
41,5198
44,6129
46,4816
46,4816
46,4816
46,4689
46,4689
48,15736
48,12830
48,12830
48,12830
48,12830
48,12830
48,12830
48,12830
48,12830
48,12830
48,7215
48,7215
48,16596
48,19703
49,2262
51,13562
51,4601
54,9484
54,8103
54,8818
54,8030
54,8030
54,12750
54,221
54,17913
54,17913
54,17913
54,17913
54,17913
54,949
54,14970
54,13663
54,4159
54,3343
54,2987
54,10190
54,10190
54,10190
54,15529
54,14682
54,15531
57,1061
58,15688
60,19730
64,452
64,6874
64,566
64,566
64,16527
64,3171
64,6243
64,377
64,377
64,774
64,774
65,10129
65,5892
65,8439
65,10016
65,16596
67,18794
67,1976
67,5589
67,727
67,1242
67,15196
67,15196
67,4001
67,6070
67,6070
67,11926
67,10470
67,2330
67,19573
67,14741
67,707
67,707
67,1126
67,19536
67,19536
67,11785
67,6058
67,6165
67,3419
67,3419
67,3419
67,15238
67,16118
67,562
67,16201
67,16201
67,16201
67,16201
67,16201
67,16201
67,16201
67,16201
67,16201
67,16201
67,16201
67,16201
67,6557
67,17546
67,17546
67,17546
67,17546
67,17202
67,8414
67,19438
67,19438
67,12661
67,12661
67,518
67,7441
67,14013
67,19442
67,19442
67,19442
67,19442
67,19442
67,19442
67,13957
67,12277
67,9702
67,203
67,2181
67,5136
67,5136
67,413
67,2336
67,16410
67,16410
67,8024
73,637
73,637
74,10926
74,1728
74,9110
74,12153
74,12153
74,12153
74,12153
74,12153
74,12153
75,10192
75,3470
75,15286
75,14462
76,17324
94,19296
94,19296
94,13192
94,13192
94,13192
94,4183
94,16673
94,14324
95,7249
95,14301
95,14301
97,1160
97,16577
97,17631
97,17631
97,14531
108,4672
108,7355
108,10367
108,3368
108,11573
108,8468
108,8468
108,14859
108,14859
110,18512
111,5310
111,5310
111,2296
113,11676
118,456
127,594
127,19021
127,19021
127,12074
127,14678
128,10490
131,11629
131,11629
131,638
131,638
131,7881
136,17048
137,19457
137,13236
137,488
137,14493
137,12673
137,7256
137,5257
140,15271
142,8432
142,8432
142,8432
142,6520
142,6520
142,5309
142,2455
147,17324
148,3271
150,7926
150,9755
150,9755
150,9755
150,14682
150,3689
152,19704
152,19704
152,9024
154,18084
154,18247
154,18247
154,18247
154,18247
154,4619
154,16618
154,16618
156,10770
157,4741
158,8995
158,18266
159,10005
160,17788
160,12554
160,5136
160,7222
160,10792
161,2262
163,15596
163,15596
163,15596
163,17965
163,14715
163,5754
163,18730
163,8053
163,18854
163,10681
163,4245
163,8298
163,8298
163,2296
163,8898
163,8898
163,17082
163,17082
163,2838
163,19581
163,19581
163,19581
163,19581
163,3457
163,3457
163,3457
163,3457
163,12953
163,16121
163,6103
163,6103
163,2404
163,2404
163,3889
163,4629
163,5021
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,10719
163,7378
163,7378
163,7378
163,7378
163,7378
163,7378
163,7378
163,7378
163,7378
163,1084
163,716
163,716
163,6582
163,10808
163,5307
163,19289
163,19289
163,19289
163,18964
163,18964
163,9217
163,9217
163,13883
163,13883
164,13746
164,13746
164,11292
164,11292
164,11292
164,11292
164,3226
164,9787
170,17233
170,17233
170,17233
170,2255
170,11641
170,848
174,2892
174,2892
174,2892
174,2892
174,2892
174,2892
174,18827
174,18827
174,6396
174,11992
176,5299
176,14854
184,13655
186,14810
186,14810
186,1722
186,143
186,15637
186,5723
186,9789
186,9454
188,13957
188,5589
189,8174
189,7309
189,7309
189,7309
189,14961
189,727
189,5382
189,17569
189,4393
189,11373
189,11373
189,11373
189,11373
189,11373
189,11373
189,11302
189,11302
189,11302
189,162
189,742
189,742
189,742
189,742
189,742
189,742
189,2852
189,4601
189,15300
189,5848
189,5848
189,14094
189,1404
189,6954
189,12040
189,16061
189,16061
189,7918
189,983
189,11712
189,11712
189,11712
189,11712
189,11712
189,11712
189,11712
189,11712
189,11712
189,11712
189,16596
189,593
189,13157
189,13157
189,13157
189,13787
189,17546
189,13957
189,8627
189,17788
189,17788
189,17788
189,17788
189,17788
189,17788
189,17788
189,17788
189,17788
189,17788
189,17788
189,207
189,3006
189,6023
189,6023
189,6023
189,6023
191,9759
192,9340
196,5136
196,5136
196,5136
196,13957
196,5070
196,5589
196,5589
196,5589
197,367
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,9339
198,8846
198,12909
198,12909
198,12909
198,17394
198,17394
