Source,Target,Weight
1,8172,1
1,6291,3
1,8346,1
1,6497,3
3,6497,1
3,5132,1
3,4330,1
4,4896,1
4,1962,4
4,3245,1
4,8449,1
4,1301,8
4,3431,1
4,768,2
4,4995,2
4,8170,1
4,6701,1
4,3917,2
5,6415,1
5,4641,1
5,6497,2
6,6340,7
6,5598,3
6,6978,1
6,2478,6
6,1461,3
6,2564,1
6,4539,1
6,8509,1
6,4562,9
6,3143,1
6,204,1
6,2731,1
6,878,1
7,4744,1
7,1265,1
7,1266,1
7,5405,1
7,8519,1
7,3020,1
7,4590,1
7,2644,1
7,884,1
8,261,2
8,8334,1
8,7267,1
8,3952,2
8,2650,1
9,3860,1
10,6357,1
10,3331,2
10,6497,2
10,106,1
11,3902,1
11,6713,1
11,1266,1
11,1955,1
12,5125,1
13,4896,2
13,3571,3
13,1962,36
13,3518,1
13,1301,31
13,533,3
13,3247,1
13,3431,5
13,768,1
13,4000,1
13,6059,1
13,5314,2
13,6005,3
13,8431,2
13,7872,5
14,2970,10
14,500,28
14,6051,20
14,2470,2
15,6118,1
15,6687,6
15,8115,2
15,3331,6
15,3228,4
15,6497,3
15,5782,9
16,1658,2
16,1468,4
16,6517,1
16,5042,2
16,3875,1
16,6662,9
16,8564,2
16,6536,3
16,6973,1
16,5772,3
17,6219,2
17,414,1
17,6497,1
18,893,1
19,3131,1
19,1979,1
19,6497,1
20,3331,1
21,6357,1
21,2721,3
21,2638,1
21,504,1
21,8261,9
21,3331,7
21,5125,2
21,6497,2
21,5321,1
22,3331,1
23,7873,2
23,3152,1
23,542,1
23,2742,2
23,2181,1
24,8434,1
24,8253,1
25,3096,3
25,1588,1
25,1416,2
25,1569,3
25,5560,1
26,4230,4
26,4346,1
26,6687,18
26,7699,1
26,6426,2
26,2527,2
26,1681,1
26,217,1
26,7777,3
26,4036,4
26,842,1
26,949,1
26,4246,8
26,4728,1
26,6306,5
26,3228,2
26,5429,12
26,5782,1
27,6993,1
27,6687,1
27,5477,1
27,5302,3
27,7501,2
27,7233,3
27,2357,1
27,6497,1
27,4354,1
28,316,1
28,4868,1
28,6497,1
28,3646,1
30,3331,1
31,6426,1
31,6357,1
31,106,1
31,3174,1
32,1369,1
32,6757,2
32,2770,1
32,3331,1
32,4823,1
33,3331,1
34,1580,1
35,1580,1
35,36,1
35,8220,1
35,6497,2
36,35,1
36,8473,1
36,995,1
36,8220,12
36,486,5
36,3331,2
36,4608,1
36,4594,2
36,6497,14
37,7662,2
37,6497,2
37,1615,1
37,7181,2
38,7665,16
38,5512,1
38,2211,10
38,6497,9
38,3331,9
39,6357,1
39,3138,1
40,4637,1
40,317,1
40,8019,1
40,6557,1
40,3952,2
40,1796,3
41,1463,1
41,5791,1
41,1772,1
42,6497,1
42,4996,1
42,3331,2
42,3920,1
42,5199,1
42,5512,1
43,6426,3
43,4990,3
43,4776,3
43,2250,1
43,5798,1
44,6164,1
45,5766,1
45,6703,2
45,6497,1
47,6497,1
48,1794,1
48,3621,1
49,5798,7
49,3459,1
49,4990,1
50,1085,3
50,7343,12
50,4613,2
50,2971,1
50,4180,1
50,5154,4
50,3952,2
50,8261,16
50,3331,14
50,2681,1
50,8253,1
50,1651,1
50,1135,1
50,2186,6
50,8115,4
50,102,1
50,6497,3
50,7502,3
50,1232,1
50,5349,1
50,7876,6
50,414,10
50,8193,8
50,3785,4
50,3550,1
50,6190,2
50,1187,1
50,5821,4
50,8000,2
50,5204,2
50,248,2
50,5249,3
50,4609,3
50,811,1
50,5125,3
50,1240,1
50,4876,4
50,7242,2
50,3076,2
50,3589,1
50,2941,1
50,7873,1
50,5329,2
50,3421,1
50,7407,1
50,3618,4
50,3798,3
50,4843,2
50,1111,1
50,7148,3
50,8031,1
50,6643,2
50,8661,2
51,7806,2
51,3331,2
51,2272,1
51,2641,1
51,6497,1
53,3667,2
53,7468,1
53,2692,6
53,2264,4
53,7504,5
