Source,Target,Weight
1,5364,1
1,3,7
1,683,1
1,2719,4
1,692,1
1,905,2
1,1,11
1,1638,1
1,2267,1
1,5123,6
1,57,5
1,6253,1
1,6461,2
1,5706,1
1,2493,6
1,3939,1
1,1136,2
1,1833,1
1,36,1
1,462,1
1,3061,2
1,1019,1
1,229,1
1,1659,36
1,3637,5
1,127,4
1,3192,4
1,19,7
1,1519,3
1,813,2
1,21,1
1,134,4
1,2635,1
1,253,1
1,4931,1
1,653,6
1,1089,1
1,865,2
1,2396,1
1,5599,7
1,6659,1
1,601,1
1,362,1
1,1752,1
1,2195,1
1,1863,1
1,5842,1
1,5285,2
1,3618,1
1,259,3
1,4945,1
1,39,1
1,2056,8
1,6072,3
1,272,10
1,612,2
1,371,25
1,1292,1
1,215,1
1,616,1
1,731,2
1,2428,3
1,378,1
1,1877,2
1,280,1
1,4300,1
1,23,1
1,7106,2
1,2213,3
1,1188,2
1,5415,9
1,532,2
1,3110,1
1,6995,1
1,5943,1
1,1992,2
1,4804,2
1,2665,3
1,5196,1
1,1539,6
1,4432,1
1,3986,6
1,4655,21
1,3588,1
1,5986,2
1,70,1
1,5327,1
1,1436,2
1,1207,1
1,1117,1
1,520,1
1,188,3
1,3691,1
1,2235,1
1,193,1
1,3806,5
1,5211,5
1,1452,7
1,769,5
1,1217,2
1,200,2
1,414,9
1,201,2
1,82,2
1,773,1
1,172,1
1,661,1
1,1225,2
1,5122,7
1,1861,1
1,1296,2
1,4577,2
1,4121,2
1,6927,4
1,320,1
1,2358,1
1,3273,1
1,634,8
1,6352,1
1,560,1
1,3820,2
1,6449,1
1,4025,7
1,6682,1
1,105,1
1,13,1
2,1683,1
2,82,1
2,653,26
2,683,2
2,57,3
2,19,19
2,462,1
2,5597,4
2,6457,1
2,185,1
2,110,10
2,204,4
2,3730,1
2,4623,1
2,7039,5
2,634,2
2,365,1
2,5289,4
2,697,1
2,177,1
2,272,6
2,1143,1
2,754,13
2,5791,7
2,320,1
2,6988,4
2,13,3
2,14,7
2,3637,3
2,279,2
2,221,1
2,1603,1
2,3691,2
2,2960,1
2,5719,1
2,813,1
2,2911,1
2,1272,1
3,5363,1
3,5700,1
3,5241,1
3,36,5
3,2828,2
3,1,4
3,1246,2
3,326,4
3,1249,1
3,3507,1
3,6253,1
3,495,2
3,6462,2
3,2493,1
3,2746,3
3,6323,1
3,3293,4
3,237,1
3,462,1
3,989,1
3,6467,1
3,5540,2
3,229,1
3,2625,4
3,1700,2
3,6471,1
3,13,3
3,3637,3
3,4591,4
3,166,10
3,6959,7
3,5939,13
3,3526,1
3,4502,1
3,1267,1
3,19,21
3,1754,2
3,1519,1
3,4966,7
3,813,1
3,134,5
3,5591,2
3,4161,1
3,3198,2
3,4276,4
3,653,9
3,256,2
3,865,1
3,3578,4
3,6602,5
3,4619,2
3,145,1
3,3312,1
3,361,2
3,719,1
3,33,2
3,6170,5
3,259,1
3,6172,2
3,4827,1
3,5289,1
3,6739,5
3,2056,1
3,1116,1
3,5924,6
3,272,4
3,371,3
3,616,4
3,48,12
3,1329,1
3,731,2
3,376,2
3,75,1
3,3695,9
3,733,2
3,772,6
3,280,5
3,4849,3
3,163,1
3,5415,2
3,6406,1
3,57,5
3,58,7
3,6411,1
3,2776,2
3,5943,1
3,6999,1
3,1423,1
3,1067,5
3,5867,1
3,2665,2
3,1539,13
3,965,2
3,64,2
3,2561,4
3,4655,5
3,3897,1
3,173,3
3,3569,1
3,3336,1
3,70,3
3,5389,1
3,864,6
3,177,3
3,295,1
3,641,2
3,798,10
3,3683,1
3,4552,1
3,3575,1
3,3797,1
3,645,2
3,1675,3
3,6258,2
3,78,1
3,5438,1
3,6325,2
3,414,2
3,1213,1
3,3691,2
3,1323,1
3,406,3
3,5017,1
3,722,1
3,5821,2
3,6540,1
3,899,1
3,2775,1
3,1452,1
3,2242,6
3,769,2
3,6485,1
3,10,1
3,905,2
3,392,3
3,990,8
3,884,1
3,5784,2
3,82,1
3,4964,8
3,4113,1
3,5220,1
3,424,3
3,4115,2
3,3480,10
3,5123,1
3,1104,1
3,90,2
3,4300,1
3,92,1
3,6589,4
3,4229,1
3,214,1
3,6171,3
3,2024,4
3,5909,1
3,433,1
3,4236,3
3,5555,1
3,5417,1
3,6024,1
3,6359,2
3,784,1
3,3717,1
3,2153,1
3,1706,6
3,6352,1
3,2364,3
3,679,2
3,209,1
3,3720,1
3,105,3
3,6135,1
4,2829,1
4,10,1
4,4811,1
4,1634,4
4,5417,1
4,57,1
4,19,3
4,1075,8
4,6915,1
4,4470,1
4,4126,2
4,145,2
4,636,2
4,865,1
4,6680,1
4,5490,1
4,5875,1
4,2598,2
5,3833,1
5,19,2
5,1307,1
6,2719,1
6,36,2
6,229,4
6,791,1
6,3193,1
6,3440,1
6,1104,1
6,2166,1
6,462,1
6,2735,1
6,2048,6
6,580,1
6,3744,1
6,103,2
6,1494,10
6,4609,3
6,5938,5
6,2630,1
6,810,2
6,5718,1
6,19,11
6,589,1
6,1322,1
6,6962,1
6,813,2
6,248,1
6,134,3
6,1214,3
6,4508,10
6,5499,2
6,653,2
6,1031,1
6,3412,1
6,594,1
6,7084,4
6,601,1
6,823,2
6,4282,4
6,826,1
6,2644,2
6,3763,9
6,4949,1
6,2056,5
6,5401,9
6,272,6
6,5201,7
6,3095,1
6,157,2
6,729,1
6,5303,2
6,943,2
6,1432,1
6,731,1
6,1646,2
6,5743,1
6,1763,1
6,161,1
6,3439,2
6,3979,2
6,5524,7
6,532,3
6,57,9
6,58,2
6,2846,2
6,4845,1
6,5638,1
6,169,1
6,3334,1
6,1891,1
6,3235,1
6,2562,5
6,2890,1
6,3789,2
6,5278,1
6,177,3
6,865,3
6,7014,1
6,1440,1
6,6536,2
6,523,1
6,6778,1
6,2117,1
6,193,1
6,2898,3
6,82,6
6,769,1
6,1911,1
6,306,1
6,201,1
6,433,2
6,417,1
6,308,2
6,84,2
6,773,1
6,2470,1
6,1225,1
6,5034,3
6,2595,1
6,4692,2
6,4784,1
6,215,2
6,2252,3
6,3691,1
6,3273,2
6,2254,1
6,2026,5
6,4359,2
6,3375,1
6,6921,1
6,6817,2
6,105,5
6,13,1
7,2723,2
7,4797,6
7,1245,1
7,567,1
7,330,4
7,4593,4
7,5576,4
7,6461,1
7,5812,5
7,3633,11
7,343,1
7,5044,1
7,467,1
7,2955,1
7,3851,4
7,1740,4
7,6157,1
7,2849,5
7,6379,1
7,2509,1
7,19,2
7,6476,4
7,4055,4
7,134,1
7,1629,38
7,3199,4
7,2186,22
7,653,22
7,2180,6
7,5952,1
7,3648,6
7,1035,1
7,1753,4
7,1042,3
7,1043,3
7,1044,14
7,1045,35
7,1046,38
7,1047,13
7,2962,39
7,36,1
7,2761,1
7,2200,5
7,2056,1
7,4515,5
7,271,43
7,2539,4
7,5071,6
7,3216,7
7,1979,5
7,4837,4
7,943,3
7,2983,4
7,49,1
7,6293,15
7,533,3
7,733,17
7,4655,2
7,3222,2
7,5191,1
7,3564,30
7,5499,4
7,279,1
7,2495,1
7,387,6
7,1195,1
7,3001,2
7,860,18
7,4852,4
7,4436,1
7,3788,1
7,750,4
7,1077,1
7,4322,1
7,4326,1
7,4099,2
7,7010,4
7,2789,4
7,1677,4
7,648,4
7,4330,1
7,771,5
7,931,1
7,874,6
7,7138,1
7,4821,2
7,1451,1
7,1094,1
7,3256,6
7,4453,53
7,1564,4
7,306,1
7,3815,1
7,6265,1
7,426,1
7,776,3
7,7041,17
7,6667,2
7,3921,29
7,5650,1
7,2089,1
7,1776,14
7,3926,2
7,3610,4
7,557,2
7,2364,1
7,5134,4
7,5564,5
7,6814,4
8,653,1
8,57,2
8,905,3
8,865,1
8,26,1
8,7140,1
8,3034,4
8,2202,1
8,32,1
8,8,2
8,1077,1
8,6707,3
8,4761,1
8,5731,1
8,1617,3
8,1875,2
8,1470,1
8,49,12
8,6325,1
8,978,2
8,19,1
8,1984,5
8,1268,3
8,6823,1
8,813,2
9,902,1
9,3628,1
9,4366,77
9,2614,2
9,2158,3
9,5246,3
9,5249,1
9,1013,1
9,740,17
9,455,1
9,1136,4
9,4372,1
9,6104,1
9,3007,1
9,6464,1
9,2168,1
9,4577,1
9,6956,1
9,3181,1
9,2737,1
9,3951,1
9,3520,1
9,17,41
9,5717,1
9,3527,22
9,19,4
9,20,1
9,133,1
9,253,2
9,1828,1
9,5593,2
9,928,3
9,4933,1
9,865,2
9,5168,1
9,6388,1
9,1513,2
9,547,6
9,822,2
9,1048,1
9,222,1
9,933,1
9,6732,2
9,1397,2
9,4064,1
9,6979,1
9,39,1
9,5612,1
9,6282,3
9,1758,6
9,3420,1
9,6746,1
9,946,2
9,6353,1
9,3219,1
9,3663,4
9,1527,1
9,280,12
9,6754,1
9,4422,1
9,735,1
9,4642,1
9,2312,1
9,6291,2
9,1884,1
9,653,1
9,1194,1
9,5068,1
9,6762,3
9,859,1
9,7115,1
9,2099,1
9,2102,1
9,4977,1
9,6636,1
9,5095,2
9,2005,2
9,731,1
9,293,1
9,2108,10
9,4663,1
9,2568,1
9,4327,2
9,4981,1
9,78,1
9,6712,1
9,1325,1
9,3584,8
9,2581,1
9,5212,1
9,3258,1
9,6655,1
9,3915,1
9,3137,2
9,6008,1
9,424,1
9,3478,1
9,2604,2
9,2471,1
9,3264,1
9,2349,1
9,2350,1
9,3038,1
9,892,1
9,2020,1
9,6127,1
9,3602,1
9,7162,1
9,220,1
9,6874,1
9,6672,2
9,3718,1
9,223,1
9,6132,2
9,1797,6
9,1589,29
9,5936,1
9,225,2
10,82,2
10,653,3
10,6153,15
10,57,13
10,58,5
10,5260,1
10,865,1
10,356,1
10,177,2
10,3030,8
10,414,18
10,3887,3
10,1069,2
10,2267,1
10,479,1
10,1307,1
10,7086,1
10,3334,1
10,6034,25
10,5360,13
10,796,1
10,1833,1
10,3965,1
10,70,1
10,6496,6
10,905,1
10,6494,2
10,6767,2
10,2056,2
10,1643,1
10,1316,35
10,6468,2
10,5935,10
10,272,1
10,4891,1
10,3680,2
10,1435,37
10,154,1
10,320,1
10,3637,9
10,433,1
10,1662,1
10,2847,21
10,4971,8
10,731,1
10,2593,186
10,4856,3
10,5772,3
10,4130,17
10,4903,12
10,19,4
10,2364,4
10,982,27
10,280,4
10,900,1
10,439,40
10,134,1
10,277,1
10,3936,2
10,2746,8
11,36,1
11,6304,1
11,19,1
11,6316,1
12,6684,4
12,2829,5
12,4821,1
12,6855,1
12,2941,3
12,1634,36
12,860,3
12,1075,31
12,636,1
12,4976,1
12,3149,2
12,5875,2
12,2897,1
12,2123,1
12,2679,1
12,6900,2
12,6446,5
12,19,1
12,441,3
12,3302,1
12,1743,1
12,3603,6
12,4930,3
12,1879,1
13,444,1
13,4029,1
13,3621,1
13,1364,2
13,2719,1
13,4688,4
13,5307,1
13,905,204
13,2720,4
13,4032,5
13,5367,1
