Label,Id
development version,1
yellow,2
paramfile,4387
c:font,4
pafy,5
area:configuration,6
c:inventory/expand_hosts,7
3 - working <= 5,8
component:pylint,9
waiting contributor feedback,10
parsing/yaml/,11
language / all,12
c:common segments,13
result: duplicate,14
pr: changes requested,15
os:linux,16
medium difficult,17
platform: sensor.zwave,18
component: blink,2919
bug/probably,20
on deck,21
old_async,22
libgpuarray,23
should_be_in_mvp?,24
bugsets,25
talk-to: @jaredsilver,26
platform: binary_sensor.mqtt,27
2 - working <= 5,28
requires-manual-testing,7271
comments welcome,30
easy pick,31
dependency parsing,32
scraped,33
priority 2,34
priority 3,35
priority 1,36
checkedin,37
difficulty-medium,38
seeking-review,39
area: performance,40
c:plugins/terminal,5801
stage-development,42
status: cla signed,43
chromium-fix,44
skyview,45
platform: sensor.cups,46
hero,47
reporter,48
plugin: pillow,49
formats,1464
remote-services,51
area/secrets,52
board-opsis,53
road blocked,54
gridengine,55
f: security,56
platform: zwave.discovery_schemas,58
reports,59
type: design,60
sprint:arnhem2017,61
platform support,62
component: conversation,63
phishing scenarios,64
guake 3 rewrite,65
feature needed,66
c-api,67
blocked: cla needed,2934
do-not-reap,69
reso: duplicate,70
c-unpackers/default,71
needs grooming,72
project organization,73
urlvalidated,74
dnm,75
no response,76
cruft,77
needs prioritization,78
risk management,79
requires sponsorship,80
1 star,1468
phase 2e - sponsors,82
adjustments needed,83
cont_game_designe,84
correctness-middec2016,7277
hold,86
size/xxl,87
addon,88
http frontend,89
teacher registration,90
tag: component: server,91
wroong!,92
example,93
kind/documentation,94
★,95
platform: sensor.fido,96
reviewing,97
priority: blocks release,98
dev-mode,99
win8,100
needs security revision,101
feature,102
revisit,103
project: firefox 57 compatibility,104
hot,105
help wanted,106
backend/ps,107
difficulty/low,108
✿ front-end,109
hgcwa,110
platform: sensor.eight_sleep,111
engine request,112
area: stream settings,113
opsys-freebsd,2946
design / ui,1475
component: switch,2860
platform: cover.myq,116
back end,117
promotion,2949
constants,119
period,7434
错误,120
priority:lowest,121
c-manual,122
ready-to-ship,123
wine,124
feedback,125
needs: ux,126
f: platform support,4408
concurrency,128
loe high,129
platform: device_tracker.mikrotik,4409
player issue,131
fix,132
resource model,133
ready?,134
section: site admin,135
fallout3,2952
need info,137
plat: linux,138
easier,139
accepting pull-requests,140
tool: contours,141
dep-numpy,142
needs review,143
slackapi-featurerequest,144
component: pyart.map,145
prj-rb,146
io_model,147
statsmodels-request,148
c-tracer (python),149
dev completed,150
documentation issue,151
ready to merge,152
plugin: warnings,153
prio_low,154
sev:4-low,155
platform: telegram_bot.telegram_poll,156
timeout,157
tests-unit,158
f4m,159
queued,160
need additional information,161
kind/technical-debt,162
series,163
teamx ★,1041
spider,165
phase 2,166
phase 3,167
phase 6,168
phase 7,169
reproducible:always,170
phase 5,171
gyp upstream issue / floating patch,172
phase 8,173
phase 9,174
message,2957
area/bears,176
5.4.0,177
rs,178
smt,179
new administration,180
job/executor,181
rd,182
under-review,183
qtconsole,184
tag:solver,185
needs investigation,186
qchem,187
platform: switch.rainmachine,188
type: cleanup,189
os: macos,1485
tag:cli-conda-info,4416
gameplay,192
tests-integration,193
xsdk,194
area: dns,1486
unit test,196
r+,197
area: security,198
keep-open,199
feature:api,200
state: pull request ready,201
customization,202
platform: notify.pushbullet,1257
area:package-building,204
@@kmtracey,205
classification:feature (new),206
priority: 3 - wishlist,207
tag:cli-conda-install,208
master,209
moar information required (said in robot voice),210
listen,211
projectaddresssanitizer,212
release critical,213
epic-project,4421
needs input,215
milestone-1.0.0,216
talk-to: @kevintab95,217
build-and-test,218
work: design,219
recordtool,220
performance improvement,221
pootle_fs,222
component: keyboard_remote,223
area: error handling,224
difficulty:moderate,225
might do,226
approximations,227
iteration,228
project,229
not-urgent,230
idle,231
plugin: avbin,232
component: monitoring,233
noncompatible,234
websocket,235
missing feature,236
language / chinese,237
status: on hold,238
closed: won't fix,239
parsers,240
increment,241
reengineering,242
platform-android,244
re-check,245
api: bigquery,246
reviewed-waiting-updates,247
technical debt,248
component:comms,249
plex issue,5836
stupid behavior,251
topic-weights,252
three.js,253
platform: tts.google,254
contrib: good first bug,255
kind/proposal,256
target: support,7306
metrics,258
simplify,259
errors,260
contributor friendly,261
pending-validation,262
mustfix,263
platform: camera.doorbird,264
v0.0.1,4427
st:ready-for-review,266
jupyter,267
affects/2.1,7308
ready for review and merge!,269
platform: switch.rflink,270
cherrypick_candidate,271
tech,272
incomplete,273
advisory,274
reactor,275
last-before-release,277
tweb,278
area/docs/content,279
component: publishing,280
third-party integration,281
dev: backend,282
status: in review,283
cosmosdb,7312
component:cloudformation,4430
area/gies,286
theme,287
area: docs,288
api: storage,289
feature: planned,290
status:openkomodo-related,291
new-syntax,292
r=sleevi,293
type:meta,294
to-close,295
jaguar,296
c:playbook/role_include,297
patch,298
needs reindex,299
dead code,300
ifyouwantitdiy,301
mercator,302
release,303
bug-directmode,304
area/ci,305
tag: regression,306
module: uas,307
.io,308
est_simple,309
branding,310
component: microsoft_face,311
platform: camera.mqtt,312
group/windows,313
fixed-in-dev,314
cookiecutters/scaffolds,315
3 - review,316
exception handling,4437
needmoreinfo,318
in-flight,319
experience-needed: high,320
conceptual,321
irc,322
account wanted,323
feature/ssl,324
state: blocked by upstream,325
area:settings,326
platform: cloud.util,327
status/wontfix/not happening,328
component: mongodb broker,329
new_collector,330
module: projects,331
test-coverage,332
adiumtextbox,333
mod: vobject,7321
platform: camera.uvc,335
c:plugins/cache,336
debt,337
adapter,338
area:coredevice,339
component/clouddriver,2257
not-a-bug,341
logic,342
platform: image_processing.dlib_face_identify,343
needs external javascript rewrite,344
prio-high,345
platform: switch.xknx,346
snag,5852
platform: sensor.fitbit,348
a-pr-exists,349
billing,350
priority : high,5853
chrome,352
area: provision,353
decision needed,354
need confirm,355
extraction,356
kind - support,357
area: webpack,358
platform: sensor.vasttrafik,359
platform: switch.homematic,360
component: website,361
next_release,362
web-interface,363
legacy browsers,364
worker,365
prio-critical,367
comp:lib,368
needs tests,369
scope: mobile,370
brainstorm,5859
platform: sensor.tado_v1,372
moreinfoneeded,373
weirdness,374
cmdline,375
community_review,376
e: medium,377
multi-author,378
component: commands,379
credit,4442
docs / examples,381
backend/pdf,383
