Label,Id
review ok,605
paramfile,3621
development version,1
code enhancement,3622
yellow,2
coming soon,3623
platform: sensor.imap_email_content,3624
area: export,3625
operating system : linux,3
c:font,4
area/datatypes,5958
pafy,5
area:configuration,6
c:inventory/expand_hosts,7
3 - working <= 5,8
phishing scenarios,55
area: renewal,3627
platform: sensor.modbus,3628
multi-master,3629
review carefully!,4764
企业号,3630
component: ato,3631
waiting contributor feedback,10
platform: lock.zwave,6535
platform: sensor.openhardwaremonitor,3632
feature_idea,3633
cli client,3634
language / all,11
cannot_replicate,3635
c:common segments,12
result: duplicate,13
pr: changes requested,14
f: platform support,3637
component:preferences,6536
os:linux,15
medium difficult,16
tests_blocker,4765
platform: sensor.zwave,17
component: performance,4575
verified:yes,18
grains,4766
new expression,3640
bug/probably,19
cat: pycompat,6562
old_async,20
libgpuarray,21
orcid,3642
tag:cli-conda-info,3643
should_be_in_mvp?,22
bugsets,23
can't see,3644
talk-to: @jaredsilver,24
v - pro 2.0,3646
ooni-spec,3647
platform: binary_sensor.mqtt,178
decision wanted,3649
fix inbound,3650
#slack,3651
2 - working <= 5,26
design review,27
comments welcome,28
dependency parsing,29
scraped,30
needs patch,3626
priority 3,31
pythonic,3652
priority 1,32
v0.0.1,3653
checkedin,33
difficulty-medium,34
seeking-review,35
area: performance,36
c:plugins/terminal,4769
hazy,3654
medium severity,3655
web-service,111
stage-development,38
status: cla signed,39
chromium-fix,40
skyview,41
status: on deck,216
dependency change,3657
status:declined,3658
platform: sensor.cups,42
repository-tools,3659
exception handling,3660
plugin: pillow,43
topic - encoding,6716
remote-services,44
area/secrets,45
area:infrastructure,3400
board-opsis,46
waiting for input,3661
road blocked,47
platform: device_tracker.snmp,5965
gridengine,48
needs-code,5371
f: security,49
platform: zwave.discovery_schemas,51
medium effort level,6540
platform: cover.rflink,3663
handbrake,6541
type: design,52
credit,3664
drm,3665
sprint:arnhem2017,53
component: conversation,54
prio-lowest,3667
dbaugment,4133
component:pylint,9
platform: binary_sensor.spc,3668
guake 3 rewrite,56
feature needed,57
c-api,58
physics.optics,3669
protocol changes,3670
blocked: cla needed,2421
status: team discussion,6944
do-not-reap,60
reso: duplicate,61
c-unpackers/default,62
needs grooming,63
unfixed,3671
project organization,64
urlvalidated,65
dnm,66
core and api,6596
cruft,67
needs prioritization,68
risk management,69
requires sponsorship,70
1 star,71
phase 2e - sponsors,72
db schema change (requires migration),3674
check for update,3675
coarse graining,3676
pr: needs qa/testing,7142
adjustments needed,73
language / dutch,3678
mpv related,3679
wart,3680
design proposal,5373
design-needed,3681
salt-api,3682
scope: permissions,3683
cont_game_designe,74
topic - unnamed reqs,2425
stuck-invite,3685
type.enhancement,3686
pr (possibly) inbound,3687
collector: nginx,3688
size/xxl,76
digitization,2427
http frontend,78
teacher registration,79
c-graph,3689
interposition,3690
revisit later,3691
tag: component: server,80
main feature,3692
wroong!,81
v1.9.1,3693
v1.9.2,3694
python3 semantics,5376
requires reporter clarification,3695
need contributor!,3696
kind/documentation,82
needs: api,3697
printer: um2 family,4868
component:file explorer,3698
status: tolerated,7008
good sprint project,6848
platform: sensor.fido,83
limited to: windows,6548
priority: blocks release,84
framework-bug,3700
workinprogress,1958
needs api,3702
dev-mode,85
involves wx,3703
raet,618
win8,86
component: spc,3705
idaes related,3706
area/datatype-framework,3707
needs security revision,87
platform: sensor.bh1750,88
project: firefox 57 compatibility,89
severity:4-low,3708
backend/ps,90
type: 3rd party,5970
component: infrastructure,3709
difficulty/low,91
component: http,3710
✿ front-end,92
hgcwa,93
c:plugins/strategy,4436
platform: sensor.eight_sleep,94
engine request,95
area: stream settings,96
opsys-freebsd,2432
cli/vault,98
status: demo requested,3713
format-tng,3714
platform: cover.myq,99
platform-rpi,3715
ccw - reserved,1807
promotion,2435
service bus,3716
错误,101
target: webgui,4188
platform: climate.knx,3718
priority:lowest,103
backend/cairo,3719
c-manual,104
topic: javascript,3721
limited to: edit,5972
ready-to-ship,105
wine,106
fife,3722
needs: ux,107
wontfix / cantfix,6549
c: file uploader,108
devside,3723
collab2,3724
concurrency,109
area/lambda,3725
blocked: discussion needed,4780
component: debugging,3726
loe high,110
platform: device_tracker.mikrotik,3638
semver:minor,3729
player issue,112
redis-monitor,4782
please-review,3731
btsync-gui,3732
resource model,113
ready?,114
section: site admin,115
fallout3,2438
semver:patch,3734
scipy.weave,3735
add-on management,3736
n - movement analysis,5977
transporter:s3,3737
fix available,3738
plat: linux,117
easier,118
accepting pull-requests,119
needs your support! (@ivanov is stumped),3739
tool: contours,120
clienttool,3741
dep-numpy,121
launchpad-bug,3743
needs:work,3744
platform: light.tplink,3639
v - pro 1.4.1,3746
status: review requested,5383
singularity,3748
slackapi-featurerequest,122
component: pyart.map,123
prj-rb,124
io_model,125
statsmodels-request,126
c-tracer (python),127
dev completed,128
documentation issue,129
plugin: warnings,130
prio_low,131
sev:4-low,132
platform: telegram_bot.telegram_poll,133
tests-unit,134
f4m,135
queued,136
need additional information,137
kind/technical-debt,138
area/framework,3753
qa: extra,3754
teamx ★,139
spider,140
phase 3,141
phase 6,142
phase 7,143
reproducible:always,144
gyp upstream issue / floating patch,145
to study,6553
phase 8,146
phase 9,147
example scripts,3757
packaging/windowsmsi,3758
area/bears,148
5.4.0,149
io.votable,3759
new administration,150
job/executor,151
wontdo,3761
package:pyqt,3762
under-review,152
feature:new,3763
qtconsole,153
platform: cloud.http_api,3764
noturgent,5387
pycsw,3765
opsys-solaris,3946
component/ci-infrastructure,3766
area: standalone,4892
needs investigation,154
qchem,155
platform: switch.rainmachine,156
type: cleanup,157
os: macos,1232
new bip,631
gameplay,159
discuss before doing,3717
move-to-forums,3770
tests-integration,160
xsdk,161
pr status: needs improvement,3772
area: dns,162
! important !,163
projects module,3773
platform: sensor.kwb,6027
elasticache,3774
type:featurerequest,5908
keep-open,164
pr: declined,3775
